Wed Aug 31 13:07:54 IST 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
59,5,5,Thu Jan 01 05:30:05 IST 1970,4095,2,0
59,5,10,Thu Jan 01 05:30:10 IST 1970,4095,2,1
59,5,15,Thu Jan 01 05:30:15 IST 1970,4095,2,2
59,5,20,Thu Jan 01 05:30:20 IST 1970,4095,2,3
59,5,25,Thu Jan 01 05:30:25 IST 1970,4095,2,4
59,5,30,Thu Jan 01 05:30:30 IST 1970,4095,2,5
59,5,35,Thu Jan 01 05:30:35 IST 1970,4095,2,6
59,5,675,Thu Jan 01 05:41:15 IST 1970,4095,2,7
59,5,760,Thu Jan 01 05:42:40 IST 1970,4095,2,8
59,5,770,Thu Jan 01 05:42:50 IST 1970,4095,2,9
59,5,1405,Thu Jan 01 05:53:25 IST 1970,4095,2,10
59,5,1415,Thu Jan 01 05:53:35 IST 1970,4095,2,11
59,5,1420,Thu Jan 01 05:53:40 IST 1970,4095,2,12
59,5,1425,Thu Jan 01 05:53:45 IST 1970,4095,2,13
59,5,1505,Thu Jan 01 05:55:05 IST 1970,4095,2,14
