Tue Oct 11 22:28:49 PDT 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
157,5,113445,Thu Jan 01 23:30:45 PST 1970,4095,2,192
157,5,114720,Thu Jan 01 23:52:00 PST 1970,4095,2,193
157,5,114750,Thu Jan 01 23:52:30 PST 1970,4095,2,194
157,5,114755,Thu Jan 01 23:52:35 PST 1970,4095,2,195
157,5,114830,Thu Jan 01 23:53:50 PST 1970,4095,2,196
157,5,114840,Thu Jan 01 23:54:00 PST 1970,4095,2,197
157,5,114850,Thu Jan 01 23:54:10 PST 1970,4095,2,198
157,5,114935,Thu Jan 01 23:55:35 PST 1970,4095,2,199
157,5,114945,Thu Jan 01 23:55:45 PST 1970,4095,2,200
157,5,114950,Thu Jan 01 23:55:50 PST 1970,4095,2,201
157,5,114965,Thu Jan 01 23:56:05 PST 1970,4095,2,202
157,5,115015,Thu Jan 01 23:56:55 PST 1970,4095,2,203
157,5,115090,Thu Jan 01 23:58:10 PST 1970,4095,2,204
157,5,115105,Thu Jan 01 23:58:25 PST 1970,4095,2,205
157,5,115130,Thu Jan 01 23:58:50 PST 1970,4095,2,206
157,5,115140,Thu Jan 01 23:59:00 PST 1970,4095,2,207
157,5,136290,Fri Jan 02 05:51:30 PST 1970,4095,2,208
157,5,136680,Fri Jan 02 05:58:00 PST 1970,4095,2,209
157,5,136875,Fri Jan 02 06:01:15 PST 1970,4095,2,210
157,5,136980,Fri Jan 02 06:03:00 PST 1970,4095,2,211
157,5,136995,Fri Jan 02 06:03:15 PST 1970,4095,2,212
157,5,137005,Fri Jan 02 06:03:25 PST 1970,4095,2,213
157,5,137020,Fri Jan 02 06:03:40 PST 1970,4095,2,214
157,5,137025,Fri Jan 02 06:03:45 PST 1970,4095,2,215
157,5,300,Wed Dec 31 16:05:00 PST 1969,4095,2,24
157,5,315,Wed Dec 31 16:05:15 PST 1969,4095,2,25
157,5,330,Wed Dec 31 16:05:30 PST 1969,4095,3,26
157,5,335,Wed Dec 31 16:05:35 PST 1969,4095,3,27
157,5,355,Wed Dec 31 16:05:55 PST 1969,4095,3,28
157,5,360,Wed Dec 31 16:06:00 PST 1969,4095,3,29
157,5,510,Wed Dec 31 16:08:30 PST 1969,4095,3,30
157,5,515,Wed Dec 31 16:08:35 PST 1969,4095,3,31
157,5,525,Wed Dec 31 16:08:45 PST 1969,4095,3,32
157,5,540,Wed Dec 31 16:09:00 PST 1969,4095,3,33
157,5,550,Wed Dec 31 16:09:10 PST 1969,4095,3,34
157,5,595,Wed Dec 31 16:09:55 PST 1969,4095,3,35
157,5,685,Wed Dec 31 16:11:25 PST 1969,4095,3,36
157,5,1315798200,Sun Sep 11 20:30:00 PDT 2011,4095,3,37
157,5,1315798230,Sun Sep 11 20:30:30 PDT 2011,4095,3,38
157,5,1315798250,Sun Sep 11 20:30:50 PDT 2011,4095,3,39
157,5,1315798255,Sun Sep 11 20:30:55 PDT 2011,4095,3,40
157,5,1315798265,Sun Sep 11 20:31:05 PDT 2011,4095,3,41
157,5,1315798310,Sun Sep 11 20:31:50 PDT 2011,4095,3,42
157,5,1315798330,Sun Sep 11 20:32:10 PDT 2011,4095,3,43
157,5,1315798388,Sun Sep 11 20:33:08 PDT 2011,4095,3,44
157,5,1315798414,Sun Sep 11 20:33:34 PDT 2011,4095,3,45
157,5,1315798439,Sun Sep 11 20:33:59 PDT 2011,4095,3,46
157,5,1315798444,Sun Sep 11 20:34:04 PDT 2011,4095,3,47
157,5,1315798449,Sun Sep 11 20:34:09 PDT 2011,4095,3,48
157,5,1315798454,Sun Sep 11 20:34:14 PDT 2011,4095,3,49
157,5,1315798469,Sun Sep 11 20:34:29 PDT 2011,4095,3,50
157,5,1315798479,Sun Sep 11 20:34:39 PDT 2011,4095,3,51
157,5,5,Wed Dec 31 16:00:05 PST 1969,4095,4,0
157,5,10,Wed Dec 31 16:00:10 PST 1969,4095,4,1
157,5,15,Wed Dec 31 16:00:15 PST 1969,4095,4,2
157,5,20,Wed Dec 31 16:00:20 PST 1969,4095,4,3
157,5,25,Wed Dec 31 16:00:25 PST 1969,4095,4,4
157,5,30,Wed Dec 31 16:00:30 PST 1969,4095,4,5
157,5,40,Wed Dec 31 16:00:40 PST 1969,4095,4,6
157,5,45,Wed Dec 31 16:00:45 PST 1969,4095,4,7
157,5,55,Wed Dec 31 16:00:55 PST 1969,4095,4,8
157,5,60,Wed Dec 31 16:01:00 PST 1969,4095,4,9
157,5,65,Wed Dec 31 16:01:05 PST 1969,4095,4,10
157,5,70,Wed Dec 31 16:01:10 PST 1969,4095,4,11
157,5,75,Wed Dec 31 16:01:15 PST 1969,4095,4,12
157,5,80,Wed Dec 31 16:01:20 PST 1969,4095,4,13
157,5,85,Wed Dec 31 16:01:25 PST 1969,4095,4,14
157,5,90,Wed Dec 31 16:01:30 PST 1969,4095,4,15
157,5,95,Wed Dec 31 16:01:35 PST 1969,4095,4,16
157,5,100,Wed Dec 31 16:01:40 PST 1969,4095,4,17
157,5,105,Wed Dec 31 16:01:45 PST 1969,4095,4,18
157,5,110,Wed Dec 31 16:01:50 PST 1969,4095,4,19
157,5,115,Wed Dec 31 16:01:55 PST 1969,4095,4,20
157,5,120,Wed Dec 31 16:02:00 PST 1969,4095,4,21
157,5,125,Wed Dec 31 16:02:05 PST 1969,4095,4,22
157,5,130,Wed Dec 31 16:02:10 PST 1969,4095,4,23
157,5,495,Wed Dec 31 16:08:15 PST 1969,4095,6,52
157,5,500,Wed Dec 31 16:08:20 PST 1969,4095,6,53
157,5,505,Wed Dec 31 16:08:25 PST 1969,4095,6,54
157,5,510,Wed Dec 31 16:08:30 PST 1969,4095,6,55
157,5,520,Wed Dec 31 16:08:40 PST 1969,4095,6,56
157,5,525,Wed Dec 31 16:08:45 PST 1969,4095,6,57
