Wed Aug 31 10:44:01 IST 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
150,5,10,Thu Jan 01 05:30:10 IST 1970,4095,2,0
150,5,15,Thu Jan 01 05:30:15 IST 1970,4095,2,1
150,5,20,Thu Jan 01 05:30:20 IST 1970,4095,2,2
150,5,25,Thu Jan 01 05:30:25 IST 1970,4095,2,3
150,5,30,Thu Jan 01 05:30:30 IST 1970,4095,2,4
150,5,35,Thu Jan 01 05:30:35 IST 1970,4095,2,5
150,5,40,Thu Jan 01 05:30:40 IST 1970,4095,2,6
150,5,45,Thu Jan 01 05:30:45 IST 1970,4095,2,7
150,5,50,Thu Jan 01 05:30:50 IST 1970,4095,2,8
150,5,55,Thu Jan 01 05:30:55 IST 1970,4095,2,9
150,5,85,Thu Jan 01 05:31:25 IST 1970,4095,2,10
150,5,95,Thu Jan 01 05:31:35 IST 1970,4095,2,11
