Wed Aug 31 11:54:32 IST 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
203,5,5,Thu Jan 01 05:30:05 IST 1970,4095,2,0
203,5,10,Thu Jan 01 05:30:10 IST 1970,4095,2,1
203,5,15,Thu Jan 01 05:30:15 IST 1970,4095,2,2
203,5,20,Thu Jan 01 05:30:20 IST 1970,4095,2,3
203,5,25,Thu Jan 01 05:30:25 IST 1970,4095,2,4
203,5,30,Thu Jan 01 05:30:30 IST 1970,4095,2,5
203,5,35,Thu Jan 01 05:30:35 IST 1970,4095,2,6
203,5,50,Thu Jan 01 05:30:50 IST 1970,4095,2,7
203,5,60,Thu Jan 01 05:31:00 IST 1970,4095,2,8
203,5,70,Thu Jan 01 05:31:10 IST 1970,4095,2,9
203,5,75,Thu Jan 01 05:31:15 IST 1970,4095,2,10
203,5,80,Thu Jan 01 05:31:20 IST 1970,4095,2,11
203,5,100,Thu Jan 01 05:31:40 IST 1970,4095,2,12
203,5,120,Thu Jan 01 05:32:00 IST 1970,4095,2,13
203,5,125,Thu Jan 01 05:32:05 IST 1970,4095,2,14
203,5,145,Thu Jan 01 05:32:25 IST 1970,4095,2,15
203,5,150,Thu Jan 01 05:32:30 IST 1970,4095,2,16
203,5,215,Thu Jan 01 05:33:35 IST 1970,4095,2,17
203,5,240,Thu Jan 01 05:34:00 IST 1970,4095,2,18
203,5,250,Thu Jan 01 05:34:10 IST 1970,4095,2,19
203,5,265,Thu Jan 01 05:34:25 IST 1970,4095,2,20
203,5,325,Thu Jan 01 05:35:25 IST 1970,4095,2,21
203,5,370,Thu Jan 01 05:36:10 IST 1970,4095,2,22
203,5,380,Thu Jan 01 05:36:20 IST 1970,4095,2,23
203,5,385,Thu Jan 01 05:36:25 IST 1970,4095,2,24
203,5,400,Thu Jan 01 05:36:40 IST 1970,4095,2,25
203,5,465,Thu Jan 01 05:37:45 IST 1970,4095,3,26
203,5,480,Thu Jan 01 05:38:00 IST 1970,4095,3,27
203,5,510,Thu Jan 01 05:38:30 IST 1970,4095,3,28
203,5,515,Thu Jan 01 05:38:35 IST 1970,4095,3,29
203,5,525,Thu Jan 01 05:38:45 IST 1970,4095,3,30
203,5,545,Thu Jan 01 05:39:05 IST 1970,4095,3,31
203,5,560,Thu Jan 01 05:39:20 IST 1970,4095,3,32
203,5,590,Thu Jan 01 05:39:50 IST 1970,4095,3,33
203,5,605,Thu Jan 01 05:40:05 IST 1970,4095,3,34
203,5,620,Thu Jan 01 05:40:20 IST 1970,4095,3,35
203,5,635,Thu Jan 01 05:40:35 IST 1970,4095,3,36
203,5,745,Thu Jan 01 05:42:25 IST 1970,4095,3,37
203,5,760,Thu Jan 01 05:42:40 IST 1970,4095,3,38
203,5,790,Thu Jan 01 05:43:10 IST 1970,4095,3,39
203,5,795,Thu Jan 01 05:43:15 IST 1970,4095,3,40
203,5,850,Thu Jan 01 05:44:10 IST 1970,4095,3,41
