Sun Oct 09 01:48:06 PDT 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
249,5,5,Wed Dec 31 16:00:05 PST 1969,4095,2,0
249,5,10,Wed Dec 31 16:00:10 PST 1969,4095,2,1
249,5,15,Wed Dec 31 16:00:15 PST 1969,4095,2,2
249,5,20,Wed Dec 31 16:00:20 PST 1969,4095,2,3
249,5,25,Wed Dec 31 16:00:25 PST 1969,4095,2,4
249,5,30,Wed Dec 31 16:00:30 PST 1969,4095,2,5
249,5,35,Wed Dec 31 16:00:35 PST 1969,4095,2,6
249,5,295,Wed Dec 31 16:04:55 PST 1969,4095,2,7
249,5,300,Wed Dec 31 16:05:00 PST 1969,4095,2,8
249,5,320,Wed Dec 31 16:05:20 PST 1969,4095,2,9
249,5,325,Wed Dec 31 16:05:25 PST 1969,4095,2,10
249,5,350,Wed Dec 31 16:05:50 PST 1969,4095,2,11
249,5,360,Wed Dec 31 16:06:00 PST 1969,4095,2,12
249,5,365,Wed Dec 31 16:06:05 PST 1969,4095,2,13
249,5,520,Wed Dec 31 16:08:40 PST 1969,4095,2,14
249,5,525,Wed Dec 31 16:08:45 PST 1969,4095,2,15
249,5,530,Wed Dec 31 16:08:50 PST 1969,4095,2,16
249,5,535,Wed Dec 31 16:08:55 PST 1969,4095,2,17
249,5,540,Wed Dec 31 16:09:00 PST 1969,4095,2,18
249,5,550,Wed Dec 31 16:09:10 PST 1969,4095,2,19
249,5,555,Wed Dec 31 16:09:15 PST 1969,4095,2,20
249,5,580,Wed Dec 31 16:09:40 PST 1969,4095,2,21
249,5,585,Wed Dec 31 16:09:45 PST 1969,4095,2,22
249,5,590,Wed Dec 31 16:09:50 PST 1969,4095,2,23
249,5,620,Wed Dec 31 16:10:20 PST 1969,4095,2,24
249,5,625,Wed Dec 31 16:10:25 PST 1969,4095,2,25
249,5,655,Wed Dec 31 16:10:55 PST 1969,4095,3,26
249,5,725,Wed Dec 31 16:12:05 PST 1969,4095,3,27
249,5,730,Wed Dec 31 16:12:10 PST 1969,4095,3,28
249,5,740,Wed Dec 31 16:12:20 PST 1969,4095,3,29
249,5,750,Wed Dec 31 16:12:30 PST 1969,4095,3,30
249,5,780,Wed Dec 31 16:13:00 PST 1969,4095,3,31
249,5,785,Wed Dec 31 16:13:05 PST 1969,4095,3,32
249,5,790,Wed Dec 31 16:13:10 PST 1969,4095,3,33
249,5,835,Wed Dec 31 16:13:55 PST 1969,4095,3,34
249,5,980,Wed Dec 31 16:16:20 PST 1969,4095,3,35
249,5,985,Wed Dec 31 16:16:25 PST 1969,4095,3,36
249,5,990,Wed Dec 31 16:16:30 PST 1969,4095,3,37
249,5,995,Wed Dec 31 16:16:35 PST 1969,4095,3,38
249,5,1020,Wed Dec 31 16:17:00 PST 1969,4095,3,39
249,5,1025,Wed Dec 31 16:17:05 PST 1969,4095,3,40
249,5,1030,Wed Dec 31 16:17:10 PST 1969,4095,3,41
249,5,1040,Wed Dec 31 16:17:20 PST 1969,4095,3,42
249,5,1050,Wed Dec 31 16:17:30 PST 1969,4095,3,43
249,5,1080,Wed Dec 31 16:18:00 PST 1969,4095,3,44
249,5,1305,Wed Dec 31 16:21:45 PST 1969,4095,3,45
249,5,1445,Wed Dec 31 16:24:05 PST 1969,4095,3,46
249,5,1530,Wed Dec 31 16:25:30 PST 1969,4095,3,47
249,5,1535,Wed Dec 31 16:25:35 PST 1969,4095,3,48
249,5,1540,Wed Dec 31 16:25:40 PST 1969,4095,3,49
249,5,1550,Wed Dec 31 16:25:50 PST 1969,4095,3,50
249,5,1555,Wed Dec 31 16:25:55 PST 1969,4095,3,51
249,5,1560,Wed Dec 31 16:26:00 PST 1969,4095,4,52
249,5,1565,Wed Dec 31 16:26:05 PST 1969,4095,4,53
249,5,1575,Wed Dec 31 16:26:15 PST 1969,4095,4,54
249,5,1630,Wed Dec 31 16:27:10 PST 1969,4095,4,55
249,5,1860,Wed Dec 31 16:31:00 PST 1969,4095,4,56
249,5,1865,Wed Dec 31 16:31:05 PST 1969,4095,4,57
249,5,1885,Wed Dec 31 16:31:25 PST 1969,4095,4,58
249,5,1890,Wed Dec 31 16:31:30 PST 1969,4095,4,59
249,5,1905,Wed Dec 31 16:31:45 PST 1969,4095,4,60
249,5,2045,Wed Dec 31 16:34:05 PST 1969,4095,4,61
249,5,2050,Wed Dec 31 16:34:10 PST 1969,4095,4,62
249,5,2105,Wed Dec 31 16:35:05 PST 1969,4095,4,63
249,5,2110,Wed Dec 31 16:35:10 PST 1969,4095,4,64
249,5,2115,Wed Dec 31 16:35:15 PST 1969,4095,4,65
249,5,2125,Wed Dec 31 16:35:25 PST 1969,4095,4,66
249,5,2130,Wed Dec 31 16:35:30 PST 1969,4095,4,67
249,5,2135,Wed Dec 31 16:35:35 PST 1969,4095,4,68
249,5,2140,Wed Dec 31 16:35:40 PST 1969,4095,4,69
249,5,2145,Wed Dec 31 16:35:45 PST 1969,4095,4,70
249,5,2150,Wed Dec 31 16:35:50 PST 1969,4095,4,71
249,5,2160,Wed Dec 31 16:36:00 PST 1969,4095,4,72
249,5,2165,Wed Dec 31 16:36:05 PST 1969,4095,4,73
249,5,2180,Wed Dec 31 16:36:20 PST 1969,4095,4,74
249,5,2210,Wed Dec 31 16:36:50 PST 1969,4095,4,75
249,5,2215,Wed Dec 31 16:36:55 PST 1969,4095,4,76
249,5,2220,Wed Dec 31 16:37:00 PST 1969,4095,4,77
249,5,2245,Wed Dec 31 16:37:25 PST 1969,4095,5,78
249,5,2255,Wed Dec 31 16:37:35 PST 1969,4095,5,79
249,5,2260,Wed Dec 31 16:37:40 PST 1969,4095,5,80
249,5,2285,Wed Dec 31 16:38:05 PST 1969,4095,5,81
249,5,2290,Wed Dec 31 16:38:10 PST 1969,4095,5,82
249,5,2295,Wed Dec 31 16:38:15 PST 1969,4095,5,83
249,5,2385,Wed Dec 31 16:39:45 PST 1969,4095,5,84
249,5,2400,Wed Dec 31 16:40:00 PST 1969,4095,5,85
249,5,2420,Wed Dec 31 16:40:20 PST 1969,4095,5,86
249,5,2425,Wed Dec 31 16:40:25 PST 1969,4095,5,87
249,5,2465,Wed Dec 31 16:41:05 PST 1969,4095,5,88
249,5,2480,Wed Dec 31 16:41:20 PST 1969,4095,5,89
249,5,2485,Wed Dec 31 16:41:25 PST 1969,4095,5,90
249,5,2515,Wed Dec 31 16:41:55 PST 1969,4095,5,91
249,5,2520,Wed Dec 31 16:42:00 PST 1969,4095,5,92
249,5,2525,Wed Dec 31 16:42:05 PST 1969,4095,5,93
249,5,2530,Wed Dec 31 16:42:10 PST 1969,4095,5,94
249,5,2550,Wed Dec 31 16:42:30 PST 1969,4095,5,95
249,5,2570,Wed Dec 31 16:42:50 PST 1969,4095,5,96
249,5,2575,Wed Dec 31 16:42:55 PST 1969,4095,5,97
249,5,2665,Wed Dec 31 16:44:25 PST 1969,4095,5,98
249,5,2700,Wed Dec 31 16:45:00 PST 1969,4095,5,99
249,5,2735,Wed Dec 31 16:45:35 PST 1969,4095,5,100
249,5,2740,Wed Dec 31 16:45:40 PST 1969,4095,5,101
249,5,2765,Wed Dec 31 16:46:05 PST 1969,4095,5,102
249,5,2770,Wed Dec 31 16:46:10 PST 1969,4095,5,103
249,5,2775,Wed Dec 31 16:46:15 PST 1969,4095,6,104
249,5,2800,Wed Dec 31 16:46:40 PST 1969,4095,6,105
249,5,2950,Wed Dec 31 16:49:10 PST 1969,4095,6,106
249,5,2955,Wed Dec 31 16:49:15 PST 1969,4095,6,107
249,5,2960,Wed Dec 31 16:49:20 PST 1969,4095,6,108
249,5,2970,Wed Dec 31 16:49:30 PST 1969,4095,6,109
249,5,2990,Wed Dec 31 16:49:50 PST 1969,4095,6,110
249,5,3110,Wed Dec 31 16:51:50 PST 1969,4095,6,111
249,5,3170,Wed Dec 31 16:52:50 PST 1969,4095,6,112
249,5,3205,Wed Dec 31 16:53:25 PST 1969,4095,6,113
249,5,3210,Wed Dec 31 16:53:30 PST 1969,4095,6,114
249,5,3260,Wed Dec 31 16:54:20 PST 1969,4095,6,115
249,5,3270,Wed Dec 31 16:54:30 PST 1969,4095,6,116
249,5,3340,Wed Dec 31 16:55:40 PST 1969,4095,6,117
249,5,3385,Wed Dec 31 16:56:25 PST 1969,4095,6,118
249,5,3390,Wed Dec 31 16:56:30 PST 1969,4095,6,119
249,5,3395,Wed Dec 31 16:56:35 PST 1969,4095,6,120
249,5,3470,Wed Dec 31 16:57:50 PST 1969,4095,6,121
249,5,3860,Wed Dec 31 17:04:20 PST 1969,4095,6,122
249,5,3865,Wed Dec 31 17:04:25 PST 1969,4095,6,123
249,5,3870,Wed Dec 31 17:04:30 PST 1969,4095,6,124
249,5,955,Wed Dec 31 16:15:55 PST 1969,4095,6,125
249,5,960,Wed Dec 31 16:16:00 PST 1969,4095,6,126
249,5,965,Wed Dec 31 16:16:05 PST 1969,4095,6,127
249,5,970,Wed Dec 31 16:16:10 PST 1969,4095,6,128
249,5,975,Wed Dec 31 16:16:15 PST 1969,4095,6,129
249,5,1318142697,Sat Oct 08 23:44:57 PDT 2011,4095,12,130
249,5,1318142717,Sat Oct 08 23:45:17 PDT 2011,4095,12,131
249,5,1318142722,Sat Oct 08 23:45:22 PDT 2011,4095,12,132
249,5,1318142727,Sat Oct 08 23:45:27 PDT 2011,4095,12,133
249,5,1318142732,Sat Oct 08 23:45:32 PDT 2011,4095,12,134
249,5,1318142742,Sat Oct 08 23:45:42 PDT 2011,4095,12,135
249,5,1318142747,Sat Oct 08 23:45:47 PDT 2011,4095,12,136
249,5,1318142752,Sat Oct 08 23:45:52 PDT 2011,4095,12,137
249,5,1318142757,Sat Oct 08 23:45:57 PDT 2011,4095,12,138
249,5,1318142767,Sat Oct 08 23:46:07 PDT 2011,4095,12,139
249,5,1318142792,Sat Oct 08 23:46:32 PDT 2011,4095,12,140
249,5,1318142797,Sat Oct 08 23:46:37 PDT 2011,4095,12,141
249,5,1318142802,Sat Oct 08 23:46:42 PDT 2011,4095,12,142
249,5,1318142807,Sat Oct 08 23:46:47 PDT 2011,4095,12,143
249,5,1318142812,Sat Oct 08 23:46:52 PDT 2011,4095,12,144
249,5,1318142822,Sat Oct 08 23:47:02 PDT 2011,4095,12,145
249,5,1318143087,Sat Oct 08 23:51:27 PDT 2011,4095,12,146
249,5,1318143097,Sat Oct 08 23:51:37 PDT 2011,4095,12,147
249,5,1318143147,Sat Oct 08 23:52:27 PDT 2011,4095,12,148
249,5,1318143157,Sat Oct 08 23:52:37 PDT 2011,4095,12,149
249,5,1318143162,Sat Oct 08 23:52:42 PDT 2011,4095,12,150
249,5,1318143167,Sat Oct 08 23:52:47 PDT 2011,4095,12,151
249,5,1318143177,Sat Oct 08 23:52:57 PDT 2011,4095,12,152
249,5,1318143202,Sat Oct 08 23:53:22 PDT 2011,4095,12,153
249,5,1318143212,Sat Oct 08 23:53:32 PDT 2011,4095,12,154
249,5,1318143217,Sat Oct 08 23:53:37 PDT 2011,4095,12,155
249,5,1318143237,Sat Oct 08 23:53:57 PDT 2011,4095,13,156
249,5,1318143242,Sat Oct 08 23:54:02 PDT 2011,4095,13,157
249,5,1318143247,Sat Oct 08 23:54:07 PDT 2011,4095,13,158
249,5,1318143257,Sat Oct 08 23:54:17 PDT 2011,4095,13,159
249,5,1318143287,Sat Oct 08 23:54:47 PDT 2011,4095,13,160
249,5,1318143297,Sat Oct 08 23:54:57 PDT 2011,4095,13,161
249,5,1318143302,Sat Oct 08 23:55:02 PDT 2011,4095,13,162
249,5,1318143312,Sat Oct 08 23:55:12 PDT 2011,4095,13,163
249,5,1318143352,Sat Oct 08 23:55:52 PDT 2011,4095,13,164
249,5,1318143362,Sat Oct 08 23:56:02 PDT 2011,4095,13,165
249,5,1318143367,Sat Oct 08 23:56:07 PDT 2011,4095,13,166
249,5,1318143402,Sat Oct 08 23:56:42 PDT 2011,4095,13,167
249,5,1318143407,Sat Oct 08 23:56:47 PDT 2011,4095,13,168
