Sun Sep 25 23:42:30 PDT 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
143,5,0,Wed Dec 31 16:00:00 PST 1969,4095,2,0
143,5,5,Wed Dec 31 16:00:05 PST 1969,4095,2,1
143,5,10,Wed Dec 31 16:00:10 PST 1969,4095,2,2
143,5,15,Wed Dec 31 16:00:15 PST 1969,4095,2,3
143,5,20,Wed Dec 31 16:00:20 PST 1969,4095,2,4
143,5,30,Wed Dec 31 16:00:30 PST 1969,4095,2,5
143,5,35,Wed Dec 31 16:00:35 PST 1969,4095,2,6
143,5,45,Wed Dec 31 16:00:45 PST 1969,4095,2,7
143,5,50,Wed Dec 31 16:00:50 PST 1969,4095,2,8
143,5,55,Wed Dec 31 16:00:55 PST 1969,4095,2,9
143,5,60,Wed Dec 31 16:01:00 PST 1969,4095,2,10
143,5,65,Wed Dec 31 16:01:05 PST 1969,4095,2,11
143,5,85,Wed Dec 31 16:01:25 PST 1969,4095,2,12
143,5,100,Wed Dec 31 16:01:40 PST 1969,4095,2,13
143,5,105,Wed Dec 31 16:01:45 PST 1969,4095,2,14
143,5,110,Wed Dec 31 16:01:50 PST 1969,4095,2,15
143,5,115,Wed Dec 31 16:01:55 PST 1969,4095,2,16
143,5,120,Wed Dec 31 16:02:00 PST 1969,4095,2,17
143,5,125,Wed Dec 31 16:02:05 PST 1969,4095,2,18
143,5,130,Wed Dec 31 16:02:10 PST 1969,4095,2,19
143,5,135,Wed Dec 31 16:02:15 PST 1969,4095,2,20
143,5,140,Wed Dec 31 16:02:20 PST 1969,4095,2,21
143,5,145,Wed Dec 31 16:02:25 PST 1969,4095,2,22
143,5,155,Wed Dec 31 16:02:35 PST 1969,4095,2,23
143,5,160,Wed Dec 31 16:02:40 PST 1969,4095,2,24
143,5,165,Wed Dec 31 16:02:45 PST 1969,4095,2,25
143,5,195,Wed Dec 31 16:03:15 PST 1969,4095,3,26
143,5,210,Wed Dec 31 16:03:30 PST 1969,4095,3,27
143,5,225,Wed Dec 31 16:03:45 PST 1969,4095,3,28
143,5,230,Wed Dec 31 16:03:50 PST 1969,4095,3,29
