Mon Sep 26 01:42:19 PDT 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
179,5,0,Wed Dec 31 16:00:00 PST 1969,4095,2,0
179,5,5,Wed Dec 31 16:00:05 PST 1969,4095,2,1
179,5,10,Wed Dec 31 16:00:10 PST 1969,4095,2,2
179,5,15,Wed Dec 31 16:00:15 PST 1969,4095,2,3
179,5,85,Wed Dec 31 16:01:25 PST 1969,4095,2,4
179,5,90,Wed Dec 31 16:01:30 PST 1969,4095,2,5
179,5,100,Wed Dec 31 16:01:40 PST 1969,4095,2,6
179,5,105,Wed Dec 31 16:01:45 PST 1969,4095,2,7
179,5,110,Wed Dec 31 16:01:50 PST 1969,4095,2,8
179,5,115,Wed Dec 31 16:01:55 PST 1969,4095,2,9
179,5,120,Wed Dec 31 16:02:00 PST 1969,4095,2,10
179,5,1317026270,Mon Sep 26 01:37:50 PDT 2011,4095,2,11
179,5,1317026275,Mon Sep 26 01:37:55 PDT 2011,4095,2,12
179,5,1317026280,Mon Sep 26 01:38:00 PDT 2011,4095,2,13
179,5,1317026285,Mon Sep 26 01:38:05 PDT 2011,4095,2,14
179,5,1317026290,Mon Sep 26 01:38:10 PDT 2011,4095,2,15
179,5,1317026295,Mon Sep 26 01:38:15 PDT 2011,4095,2,16
179,5,1317026300,Mon Sep 26 01:38:20 PDT 2011,4095,2,17
179,5,1317026305,Mon Sep 26 01:38:25 PDT 2011,4095,2,18
179,5,1317026310,Mon Sep 26 01:38:30 PDT 2011,4095,2,19
179,5,1317026315,Mon Sep 26 01:38:35 PDT 2011,4095,2,20
179,5,1317026320,Mon Sep 26 01:38:40 PDT 2011,4095,2,21
179,5,1317026325,Mon Sep 26 01:38:45 PDT 2011,4095,2,22
179,5,1317026330,Mon Sep 26 01:38:50 PDT 2011,4095,2,23
179,5,1317026335,Mon Sep 26 01:38:55 PDT 2011,4095,2,24
179,5,1317026340,Mon Sep 26 01:39:00 PDT 2011,4095,2,25
179,5,1317026345,Mon Sep 26 01:39:05 PDT 2011,4095,3,26
179,5,1317026350,Mon Sep 26 01:39:10 PDT 2011,4095,3,27
179,5,1317026355,Mon Sep 26 01:39:15 PDT 2011,4095,3,28
179,5,1317026360,Mon Sep 26 01:39:20 PDT 2011,4095,3,29
179,5,1317026365,Mon Sep 26 01:39:25 PDT 2011,4095,3,30
179,5,1317026370,Mon Sep 26 01:39:30 PDT 2011,4095,3,31
179,5,1317026375,Mon Sep 26 01:39:35 PDT 2011,4095,3,32
179,5,1317026380,Mon Sep 26 01:39:40 PDT 2011,4095,3,33
179,5,1317026385,Mon Sep 26 01:39:45 PDT 2011,4095,3,34
179,5,1317026390,Mon Sep 26 01:39:50 PDT 2011,4095,3,35
179,5,1317026395,Mon Sep 26 01:39:55 PDT 2011,4095,3,36
179,5,1317026400,Mon Sep 26 01:40:00 PDT 2011,4095,3,37
179,5,1317026405,Mon Sep 26 01:40:05 PDT 2011,4095,3,38
179,5,1317026410,Mon Sep 26 01:40:10 PDT 2011,4095,3,39
179,5,1317026415,Mon Sep 26 01:40:15 PDT 2011,4095,3,40
179,5,1317026420,Mon Sep 26 01:40:20 PDT 2011,4095,3,41
179,5,1317026425,Mon Sep 26 01:40:25 PDT 2011,4095,3,42
