Thu Dec 15 14:32:09 PST 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
291,5,5,Wed Dec 31 16:00:05 PST 1969,4095,2,0
291,5,10,Wed Dec 31 16:00:10 PST 1969,4095,2,1
291,5,15,Wed Dec 31 16:00:15 PST 1969,4095,2,2
291,5,20,Wed Dec 31 16:00:20 PST 1969,4095,2,3
291,5,25,Wed Dec 31 16:00:25 PST 1969,4095,2,4
291,5,30,Wed Dec 31 16:00:30 PST 1969,4095,2,5
291,5,60,Wed Dec 31 16:01:00 PST 1969,4095,2,6
291,5,1320592524,Sun Nov 06 07:15:24 PST 2011,4095,2,7
291,5,1320592604,Sun Nov 06 07:16:44 PST 2011,4095,2,8
291,5,1320592739,Sun Nov 06 07:18:59 PST 2011,4095,2,9
291,5,1320593059,Sun Nov 06 07:24:19 PST 2011,4095,2,10
291,5,1320593249,Sun Nov 06 07:27:29 PST 2011,4095,2,11
291,5,1320593484,Sun Nov 06 07:31:24 PST 2011,4095,2,12
291,5,1320593524,Sun Nov 06 07:32:04 PST 2011,4095,2,13
291,5,1320593559,Sun Nov 06 07:32:39 PST 2011,4095,2,14
291,5,1320593589,Sun Nov 06 07:33:09 PST 2011,4095,2,15
291,5,1320593654,Sun Nov 06 07:34:14 PST 2011,4095,2,16
291,5,1320594134,Sun Nov 06 07:42:14 PST 2011,4095,2,17
291,5,1320657269,Mon Nov 07 01:14:29 PST 2011,4095,2,18
291,5,1320657274,Mon Nov 07 01:14:34 PST 2011,4095,2,19
291,5,1320657279,Mon Nov 07 01:14:39 PST 2011,4095,2,20
291,5,1320657299,Mon Nov 07 01:14:59 PST 2011,4095,2,21
291,5,1320657514,Mon Nov 07 01:18:34 PST 2011,4095,2,22
291,5,1320657529,Mon Nov 07 01:18:49 PST 2011,4095,2,23
291,5,1320657549,Mon Nov 07 01:19:09 PST 2011,4095,2,24
291,5,1320657564,Mon Nov 07 01:19:24 PST 2011,4095,2,25
291,5,1320657569,Mon Nov 07 01:19:29 PST 2011,4095,3,26
291,5,1320657574,Mon Nov 07 01:19:34 PST 2011,4095,3,27
291,5,1320657579,Mon Nov 07 01:19:39 PST 2011,4095,3,28
291,5,1320657594,Mon Nov 07 01:19:54 PST 2011,4095,3,29
291,5,1320657599,Mon Nov 07 01:19:59 PST 2011,4095,3,30
291,5,1320657604,Mon Nov 07 01:20:04 PST 2011,4095,3,31
291,5,1320657609,Mon Nov 07 01:20:09 PST 2011,4095,3,32
291,5,1320657614,Mon Nov 07 01:20:14 PST 2011,4095,3,33
291,5,1320657619,Mon Nov 07 01:20:19 PST 2011,4095,3,34
291,5,1320657634,Mon Nov 07 01:20:34 PST 2011,4095,3,35
291,5,1320657639,Mon Nov 07 01:20:39 PST 2011,4095,3,36
291,5,1320657649,Mon Nov 07 01:20:49 PST 2011,4095,3,37
291,5,1320731924,Mon Nov 07 21:58:44 PST 2011,4095,3,38
291,5,1320740929,Tue Nov 08 00:28:49 PST 2011,4095,3,39
291,5,1320740939,Tue Nov 08 00:28:59 PST 2011,4095,3,40
291,5,1320741014,Tue Nov 08 00:30:14 PST 2011,4095,3,41
291,5,1320741019,Tue Nov 08 00:30:19 PST 2011,4095,3,42
291,5,1320741039,Tue Nov 08 00:30:39 PST 2011,4095,3,43
291,5,1320741044,Tue Nov 08 00:30:44 PST 2011,4095,3,44
291,5,1320741059,Tue Nov 08 00:30:59 PST 2011,4095,3,45
291,5,1320800219,Tue Nov 08 16:56:59 PST 2011,4095,3,46
291,5,1320800439,Tue Nov 08 17:00:39 PST 2011,4095,3,47
291,5,1320800479,Tue Nov 08 17:01:19 PST 2011,4095,3,48
291,5,1320800484,Tue Nov 08 17:01:24 PST 2011,4095,3,49
291,5,1320800489,Tue Nov 08 17:01:29 PST 2011,4095,3,50
291,5,1320880879,Wed Nov 09 15:21:19 PST 2011,4095,3,51
291,5,1320881084,Wed Nov 09 15:24:44 PST 2011,4095,4,52
291,5,1320881119,Wed Nov 09 15:25:19 PST 2011,4095,4,53
291,5,1321005069,Fri Nov 11 01:51:09 PST 2011,4095,4,54
291,5,1321005099,Fri Nov 11 01:51:39 PST 2011,4095,4,55
291,5,1321005134,Fri Nov 11 01:52:14 PST 2011,4095,4,56
291,5,1321005159,Fri Nov 11 01:52:39 PST 2011,4095,4,57
291,5,1321006559,Fri Nov 11 02:15:59 PST 2011,4095,4,58
291,5,1321006639,Fri Nov 11 02:17:19 PST 2011,4095,4,59
291,5,1321011579,Fri Nov 11 03:39:39 PST 2011,4095,4,60
291,5,1321011609,Fri Nov 11 03:40:09 PST 2011,4095,4,61
291,5,1321011749,Fri Nov 11 03:42:29 PST 2011,4095,4,62
291,5,1321027574,Fri Nov 11 08:06:14 PST 2011,4095,4,63
291,5,1321027844,Fri Nov 11 08:10:44 PST 2011,4095,4,64
291,5,1321027849,Fri Nov 11 08:10:49 PST 2011,4095,4,65
291,5,1321027889,Fri Nov 11 08:11:29 PST 2011,4095,4,66
291,5,1321057554,Fri Nov 11 16:25:54 PST 2011,4095,4,67
291,5,1321057714,Fri Nov 11 16:28:34 PST 2011,4095,4,68
291,5,1321057864,Fri Nov 11 16:31:04 PST 2011,4095,4,69
291,5,1321057869,Fri Nov 11 16:31:09 PST 2011,4095,4,70
291,5,1321057884,Fri Nov 11 16:31:24 PST 2011,4095,4,71
291,5,1321057894,Fri Nov 11 16:31:34 PST 2011,4095,4,72
291,5,1321085034,Sat Nov 12 00:03:54 PST 2011,4095,4,73
291,5,1321085039,Sat Nov 12 00:03:59 PST 2011,4095,4,74
291,5,1321085044,Sat Nov 12 00:04:04 PST 2011,4095,4,75
291,5,1321150119,Sat Nov 12 18:08:39 PST 2011,4095,4,76
291,5,1321150464,Sat Nov 12 18:14:24 PST 2011,4095,4,77
291,5,1321150469,Sat Nov 12 18:14:29 PST 2011,4095,5,78
291,5,1321185664,Sun Nov 13 04:01:04 PST 2011,4095,5,79
291,5,1321185809,Sun Nov 13 04:03:29 PST 2011,4095,5,80
291,5,1321185829,Sun Nov 13 04:03:49 PST 2011,4095,5,81
291,5,1321185859,Sun Nov 13 04:04:19 PST 2011,4095,5,82
291,5,1321185869,Sun Nov 13 04:04:29 PST 2011,4095,5,83
291,5,1321185924,Sun Nov 13 04:05:24 PST 2011,4095,5,84
291,5,1321185979,Sun Nov 13 04:06:19 PST 2011,4095,5,85
291,5,1321202779,Sun Nov 13 08:46:19 PST 2011,4095,5,86
291,5,1321202784,Sun Nov 13 08:46:24 PST 2011,4095,5,87
291,5,1321202909,Sun Nov 13 08:48:29 PST 2011,4095,5,88
291,5,1321229849,Sun Nov 13 16:17:29 PST 2011,4095,5,89
291,5,1321229994,Sun Nov 13 16:19:54 PST 2011,4095,5,90
291,5,1321230159,Sun Nov 13 16:22:39 PST 2011,4095,5,91
291,5,1321262559,Mon Nov 14 01:22:39 PST 2011,4095,5,92
291,5,1321262654,Mon Nov 14 01:24:14 PST 2011,4095,5,93
291,5,1321262744,Mon Nov 14 01:25:44 PST 2011,4095,5,94
291,5,1321272579,Mon Nov 14 04:09:39 PST 2011,4095,5,95
291,5,1321272629,Mon Nov 14 04:10:29 PST 2011,4095,5,96
291,5,1321272744,Mon Nov 14 04:12:24 PST 2011,4095,5,97
291,5,1321272824,Mon Nov 14 04:13:44 PST 2011,4095,5,98
291,5,1321272829,Mon Nov 14 04:13:49 PST 2011,4095,5,99
291,5,1321272839,Mon Nov 14 04:13:59 PST 2011,4095,5,100
291,5,1321282424,Mon Nov 14 06:53:44 PST 2011,4095,5,101
291,5,1321282539,Mon Nov 14 06:55:39 PST 2011,4095,5,102
291,5,1321282544,Mon Nov 14 06:55:44 PST 2011,4095,5,103
291,5,1321282784,Mon Nov 14 06:59:44 PST 2011,4095,6,104
291,5,1321282794,Mon Nov 14 06:59:54 PST 2011,4095,6,105
291,5,1321282799,Mon Nov 14 06:59:59 PST 2011,4095,6,106
291,5,1321288374,Mon Nov 14 08:32:54 PST 2011,4095,6,107
291,5,1321288379,Mon Nov 14 08:32:59 PST 2011,4095,6,108
291,5,1321318964,Mon Nov 14 17:02:44 PST 2011,4095,6,109
291,5,1321319134,Mon Nov 14 17:05:34 PST 2011,4095,6,110
291,5,1321336894,Mon Nov 14 22:01:34 PST 2011,4095,6,111
291,5,1321370714,Tue Nov 15 07:25:14 PST 2011,4095,6,112
291,5,1321370719,Tue Nov 15 07:25:19 PST 2011,4095,6,113
291,5,1321371364,Tue Nov 15 07:36:04 PST 2011,4095,6,114
291,5,1321406414,Tue Nov 15 17:20:14 PST 2011,4095,6,115
291,5,1321406504,Tue Nov 15 17:21:44 PST 2011,4095,6,116
291,5,1321406544,Tue Nov 15 17:22:24 PST 2011,4095,6,117
291,5,1321406634,Tue Nov 15 17:23:54 PST 2011,4095,6,118
291,5,1321406644,Tue Nov 15 17:24:04 PST 2011,4095,6,119
291,5,1321406919,Tue Nov 15 17:28:39 PST 2011,4095,6,120
291,5,1321406949,Tue Nov 15 17:29:09 PST 2011,4095,6,121
291,5,1321406964,Tue Nov 15 17:29:24 PST 2011,4095,6,122
291,5,1321462954,Wed Nov 16 09:02:34 PST 2011,4095,6,123
291,5,1321463269,Wed Nov 16 09:07:49 PST 2011,4095,6,124
291,5,1321491879,Wed Nov 16 17:04:39 PST 2011,4095,6,125
